PROJECT_VERSION,CLASS_NAME,DEFECT_CNT
universal-image-loader-1.7.0,com.nostra13.universalimageloader.core.DefaultConfigurationFactory,1
universal-image-loader-1.7.0,com.nostra13.universalimageloader.core.DisplayBitmapTask,2
universal-image-loader-1.7.0,com.nostra13.universalimageloader.core.DisplayImageOptions,1
universal-image-loader-1.7.0,com.nostra13.universalimageloader.core.ImageDecoder,1
universal-image-loader-1.7.0,com.nostra13.universalimageloader.core.ImageLoader,4
universal-image-loader-1.7.0,com.nostra13.universalimageloader.core.ImageLoaderConfiguration,1
universal-image-loader-1.7.0,com.nostra13.universalimageloader.core.LoadAndDisplayImageTask,7
universal-image-loader-1.7.0,com.nostra13.universalimageloader.utils.StorageUtils,3
universal-image-loader-1.7.0,com.nostra13.example.universalimageloader.ImageGridActivity,1
universal-image-loader-1.7.0,com.nostra13.example.universalimageloader.ImageListActivity,1
universal-image-loader-1.7.0,com.nostra13.universalimageloader.cache.disc.LimitedDiscCache,2
universal-image-loader-1.7.0,com.nostra13.universalimageloader.cache.memory.BaseMemoryCache,2
universal-image-loader-1.7.0,com.nostra13.universalimageloader.cache.memory.LimitedMemoryCache,1
universal-image-loader-1.7.0,com.nostra13.universalimageloader.core.assist.PauseOnScrollListener,1
universal-image-loader-1.7.0,com.nostra13.universalimageloader.core.display.RoundedBitmapDisplayer,2
universal-image-loader-1.7.0,com.nostra13.universalimageloader.core.DisplayImageOptionsBuilder,1
universal-image-loader-1.7.0,com.nostra13.universalimageloader.core.download.HttpClientImageDownloader,1
universal-image-loader-1.7.0,com.nostra13.universalimageloader.cache.disc.impl.LimitedAgeDiscCache,1
universal-image-loader-1.7.0,com.nostra13.universalimageloader.core.LoadAndDisplayImageTask,1
universal-image-loader-1.8.6,com.nostra13.universalimageloader.core.DefaultConfigurationFactory,1
universal-image-loader-1.8.6,com.nostra13.universalimageloader.core.DisplayBitmapTask,1
universal-image-loader-1.8.6,com.nostra13.universalimageloader.core.DisplayImageOptions,1
universal-image-loader-1.8.6,com.nostra13.universalimageloader.core.ImageLoader,2
universal-image-loader-1.8.6,com.nostra13.universalimageloader.core.ImageLoaderConfiguration,1
universal-image-loader-1.8.6,com.nostra13.universalimageloader.core.ImageLoaderEngine,1
universal-image-loader-1.8.6,com.nostra13.universalimageloader.core.ImageLoadingInfo,1
universal-image-loader-1.8.6,com.nostra13.universalimageloader.core.LoadAndDisplayImageTask,2
universal-image-loader-1.8.6,com.nostra13.universalimageloader.utils.ImageSizeUtils,1
universal-image-loader-1.8.6,com.nostra13.universalimageloader.utils.StorageUtils,2
universal-image-loader-1.8.6,com.nostra13.universalimageloader.core.decode.BaseImageDecoder,2
universal-image-loader-1.8.6,com.nostra13.universalimageloader.core.display.FadeInBitmapDisplayer,1
universal-image-loader-1.8.6,com.nostra13.universalimageloader.core.display.RoundedBitmapDisplayer,2
universal-image-loader-1.8.6,com.nostra13.universalimageloader.core.display.SimpleBitmapDisplayer,1
universal-image-loader-1.8.6,com.nostra13.universalimageloader.core.ImageLoaderConfigurationBuilder,1
universal-image-loader-1.8.6,com.nostra13.universalimageloader.core.LoadAndDisplayImageTask,1
universal-image-loader-1.9.1,com.nostra13.universalimageloader.utils.ImageSizeUtils,1
universal-image-loader-1.9.1,com.nostra13.universalimageloader.core.assist.ImageSizeTest,1
universal-image-loader-1.9.2,com.nostra13.universalimageloader.core.DefaultConfigurationFactory,1
universal-image-loader-1.9.2,com.nostra13.universalimageloader.core.LoadAndDisplayImageTask,2
universal-image-loader-1.9.2,com.nostra13.universalimageloader.utils.ImageSizeUtils,1
universal-image-loader-1.9.2,com.nostra13.universalimageloader.utils.StorageUtils,1
universal-image-loader-1.9.2,com.nostra13.universalimageloader.core.assist.ImageSizeTest,1
universal-image-loader-1.9.2,com.nostra13.universalimageloader.core.decode.BaseImageDecoder,1
universal-image-loader-1.9.2,com.nostra13.universalimageloader.cache.disc.impl.ext.LruDiscCache,1
universal-image-loader-1.9.3,com.nostra13.universalimageloader.core.LoadAndDisplayImageTask,1
universal-image-loader-1.9.3,com.nostra13.universalimageloader.core.decode.BaseImageDecoder,1
antlr-4.0-complete,org.antlr.v4.runtime.FailedPredicateException,1
antlr-4.0-complete,org.antlr.v4.runtime.LexerNoViableAltException,1
antlr-4.0-complete,org.antlr.v4.automata.ATNSerializer,1
antlr-4.0-complete,org.antlr.v4.automata.LexerATNFactory,1
antlr-4.0-complete,org.antlr.v4.codegen.OutputModelController,1
antlr-4.0-complete,org.antlr.v4.codegen.Target,1
antlr-4.0-complete,org.antlr.v4.semantics.SymbolChecks,1
antlr-4.0-complete,org.antlr.v4.runtime.atn.ATNSimulator,1
antlr-4.0-complete,org.antlr.v4.runtime.atn.ATNState,1
antlr-4.0-complete,org.antlr.v4.runtime.atn.LexerATNSimulator,1
antlr-4.0-complete,org.antlr.v4.runtime.misc.Utils,1
antlr-4.0-complete,org.antlr.v4.codegen.model.SerializedATN,1
antlr-4.0-complete,org.antlr.v4.runtime.tree.gui.PostScriptDocument,1
antlr-4.1-complete,org.antlr.v4.Tool,1
antlr-4.1-complete,org.antlr.mojo.antlr4.Antlr4ErrorLog,1
antlr-4.1-complete,org.antlr.mojo.antlr4.Antlr4Mojo,1
antlr-4.1-complete,org.antlr.v4.tool.GrammarTransformPipeline,1
antlr-4.1-complete,org.antlr.mojo.antlr4.Antlr4MojoCustomTool,1
antlr-4.1-complete,org.antlr.v4.runtime.tree.AbstractParseTreeVisitor,1
antlr-4.2-complete,org.antlr.v4.Tool,3
