GranuleSrc;GranuleDst;Type;Arity;
org.apache.tools.ant.taskdefs.Javadoc;org.apache.tools.ant.Project;UseLink;1;
org.apache.tools.ant.taskdefs.JikesOutputParser;org.apache.tools.ant.Task;Association;1;
org.apache.tools.ant.taskdefs.ExecuteOn;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.taskdefs.Javac;org.apache.tools.ant.Project;UseLink;1;
org.apache.tools.ant.UnknownElement;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.Project;org.apache.tools.ant.BuildListener;UseLink;1;
org.apache.tools.ant.taskdefs.CompileTask;org.apache.tools.ant.taskdefs.Taskdef;UseLink;1;
org.apache.tools.ant.types.Mapper;org.apache.tools.ant.types.Reference;UseLink;1;
org.apache.tools.ant.taskdefs.Zip;org.apache.tools.ant.types.ZipScanner;UseLink;1;
org.apache.tools.ant.taskdefs.Available;org.apache.tools.ant.types.Reference;UseLink;1;
org.apache.tools.ant.taskdefs.Touch;org.apache.tools.ant.Task;Inheritance;1;
org.apache.tools.ant.taskdefs.Touch;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.taskdefs.ExecuteJava;org.apache.tools.ant.Project;UseLink;1;
org.apache.tools.ant.taskdefs.Copy;org.apache.tools.ant.util.FileNameMapper;UseLink;1;
org.apache.tools.ant.taskdefs.Replace;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.taskdefs.SignJar;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.taskdefs.Ant;org.apache.tools.ant.Project;Association;1;
org.apache.tools.ant.util.SourceFileScanner;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.taskdefs.GUnzip;org.apache.tools.ant.BuildException;UseLink;1;
org.apache.tools.ant.BuildEvent;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.taskdefs.Jikes;org.apache.tools.ant.taskdefs.JikesOutputParser;Association;1;
org.apache.tools.ant.taskdefs.Java;org.apache.tools.ant.taskdefs.Execute;UseLink;1;
org.apache.tools.ant.types.FileSet;org.apache.tools.ant.FileScanner;UseLink;1;
org.apache.tools.ant.taskdefs.Copydir;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.RuntimeConfigurable;org.apache.tools.ant.Project;UseLink;1;
org.apache.tools.ant.Project;org.apache.tools.ant.Target;UseLink;1;
org.apache.tools.ant.taskdefs.CompileTask;org.apache.tools.ant.taskdefs.Javac;Inheritance;1;
org.apache.tools.ant.taskdefs.Available;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.taskdefs.PumpStreamHandler;org.apache.tools.ant.taskdefs.StreamPumper;UseLink;1;
org.apache.tools.ant.taskdefs.Property;org.apache.tools.ant.ProjectHelper;UseLink;1;
org.apache.tools.ant.taskdefs.UpToDate;org.apache.tools.ant.Project;UseLink;1;
org.apache.tools.ant.Main;org.apache.tools.ant.BuildListener;UseLink;1;
org.apache.tools.ant.ProjectHelper;org.apache.tools.ant.Location;UseLink;1;
org.apache.tools.ant.taskdefs.Available;org.apache.tools.ant.Task;Inheritance;1;
org.apache.tools.ant.Main;org.apache.tools.ant.Target;UseLink;1;
org.apache.tools.ant.taskdefs.GZip;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.ProjectHelper;org.apache.tools.ant.Project;UseLink;1;
org.apache.tools.ant.taskdefs.ExecTask;org.apache.tools.ant.taskdefs.Execute;UseLink;1;
org.apache.tools.ant.taskdefs.Exec;org.apache.tools.ant.Task;Inheritance;1;
org.apache.tools.ant.taskdefs.Copyfile;org.apache.tools.ant.BuildException;UseLink;1;
org.apache.tools.ant.taskdefs.Javadoc;org.apache.tools.ant.types.FileSet;UseLink;1;
org.apache.tools.ant.taskdefs.Taskdef;org.apache.tools.ant.BuildException;UseLink;1;
org.apache.tools.ant.taskdefs.ExecuteOn;org.apache.tools.ant.types.FileSet;UseLink;1;
