Granule;Ca;Ce;I;A;Dn;
org.apache.tools.ant.taskdefs.JikesOutputParser;2;3;0.6;0.0;0.4;
org.apache.tools.ant.taskdefs.AntStructure;0;5;1.0;0.0;0.0;
org.apache.tools.ant.taskdefs.Ant;2;9;0.82;0.0;0.18;
org.apache.tools.ant.taskdefs.XSLTLiaison;2;0;0.0;1.0;0.0;
org.apache.tools.ant.taskdefs.War;0;6;1.0;0.0;0.0;
org.apache.tools.tar.TarConstants;1;0;0.0;0.0;1.0;
org.apache.tools.ant.taskdefs.Chmod;0;8;1.0;0.0;0.0;
org.apache.tools.ant.taskdefs.Patch;0;5;1.0;0.0;0.0;
org.apache.tools.ant.taskdefs.GZip;0;4;1.0;0.0;0.0;
org.apache.tools.ant.taskdefs.CallTarget;0;7;1.0;0.0;0.0;
org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter;8;10;0.56;0.13;0.31;
org.apache.tools.ant.util.regexp.JakartaRegexpMatcher;0;2;1.0;0.0;0.0;
org.apache.tools.ant.RuntimeConfigurable;3;3;0.5;0.0;0.5;
org.apache.tools.ant.taskdefs.ExecuteJava;1;3;0.75;0.0;0.25;
org.apache.tools.ant.taskdefs.SendEmail;0;5;1.0;0.0;0.0;
org.apache.tools.ant.taskdefs.Untar;0;7;1.0;0.0;0.0;
org.apache.tools.ant.taskdefs.KeySubst;0;4;1.0;0.0;0.0;
org.apache.tools.ant.types.Mapper;6;10;0.63;0.0;0.37;
org.apache.tools.ant.taskdefs.Execute;7;0;0.0;0.0;1.0;
org.apache.tools.ant.NoBannerLogger;0;4;1.0;0.0;0.0;
org.apache.tools.ant.taskdefs.FixCRLF;0;5;1.0;0.0;0.0;
org.apache.tools.ant.taskdefs.Copydir;0;5;1.0;0.0;0.0;
org.apache.tools.ant.taskdefs.ExecuteWatchdog;1;1;0.5;0.0;0.5;
org.apache.tools.ant.taskdefs.compilers.CompilerAdapterFactory;1;7;0.88;0.0;0.12;
org.apache.tools.ant.taskdefs.Copy;2;12;0.86;0.0;0.14;
org.apache.tools.ant.taskdefs.Copyfile;0;4;1.0;0.0;0.0;
org.apache.tools.ant.taskdefs.Transform;0;11;1.0;0.0;0.0;
org.apache.tools.ant.taskdefs.Filter;0;4;1.0;0.0;0.0;
org.apache.tools.ant.taskdefs.GenerateKey;0;5;1.0;0.0;0.0;
org.apache.tools.ant.taskdefs.Javadoc;0;10;1.0;0.0;0.0;
org.apache.tools.ant.util.MergingMapper;2;1;0.33;0.0;0.67;
org.apache.tools.ant.types.ZipScanner;2;2;0.5;0.0;0.5;
org.apache.tools.ant.Main;0;7;1.0;0.0;0.0;
org.apache.tools.ant.taskdefs.Tar;0;0;0.0;0.0;1.0;
org.apache.tools.ant.types.DataType;7;4;0.36;0.0;0.64;
org.apache.tools.ant.taskdefs.Touch;3;4;0.57;0.0;0.43;
org.apache.tools.ant.TaskAdapter;3;3;0.5;0.0;0.5;
org.apache.tools.ant.taskdefs.Rmic;0;0;0.0;0.0;1.0;
org.apache.tools.ant.taskdefs.JavacOutputStream;0;2;1.0;0.0;0.0;
org.apache.tools.ant.util.GlobPatternMapper;1;1;0.5;0.0;0.5;
org.apache.tools.ant.taskdefs.MatchingTask;12;6;0.33;0.0;0.67;
org.apache.tools.ant.BuildException;78;2;0.03;0.0;0.97;
org.apache.tools.mail.MailPrintStream;2;0;0.0;0.0;1.0;
org.apache.tools.ant.taskdefs.Jikes;0;6;1.0;0.0;0.0;
org.apache.tools.ant.taskdefs.Exec;0;4;1.0;0.0;0.0;
org.apache.tools.ant.taskdefs.PumpStreamHandler;5;2;0.29;0.0;0.71;
org.apache.tools.ant.types.EnumeratedAttribute;4;1;0.2;0.25;0.55;
org.apache.tools.tar.TarInputStream;1;4;0.8;0.0;0.2;
org.apache.tools.tar.TarUtils;1;0;0.0;0.0;1.0;
org.apache.tools.ant.taskdefs.Replace;0;5;1.0;0.0;0.0;
org.apache.tools.ant.util.RegexpPatternMapper;0;5;1.0;0.0;0.0;
org.apache.tools.ant.taskdefs.UpToDate;0;10;1.0;0.0;0.0;
org.apache.tools.ant.types.Commandline;2;0;0.0;0.0;1.0;
org.apache.tools.tar.TarBuffer;4;0;0.0;0.0;1.0;
org.apache.tools.ant.PathTokenizer;1;0;0.0;0.0;1.0;
org.apache.tools.ant.Task;103;9;0.08;0.0;0.92;
org.apache.tools.ant.taskdefs.Expand;0;6;1.0;0.0;0.0;
org.apache.tools.ant.types.CommandlineJava;2;7;0.78;0.0;0.22;
org.apache.tools.ant.util.FileNameMapper;10;0;0.0;1.0;0.0;
org.apache.tools.ant.taskdefs.Available;0;7;1.0;0.0;0.0;
org.apache.tools.ant.taskdefs.ExecTask;6;11;0.65;0.0;0.35;
org.apache.tools.ant.util.SourceFileScanner;5;3;0.38;0.0;0.62;
org.apache.tools.ant.util.DOMElementWriter;1;0;0.0;0.0;1.0;
org.apache.tools.tar.TarEntry;4;2;0.33;0.0;0.67;
org.apache.tools.ant.taskdefs.CompileTask;0;3;1.0;0.0;0.0;
org.apache.tools.ant.BuildEvent;5;6;0.55;0.0;0.45;
org.apache.tools.ant.taskdefs.GUnzip;0;4;1.0;0.0;0.0;
org.apache.tools.ant.taskdefs.Move;0;6;1.0;0.0;0.0;
org.apache.tools.ant.types.Environment;3;1;0.25;0.0;0.75;
org.apache.tools.ant.BuildListener;4;1;0.2;1.0;0.2;
org.apache.tools.ant.FileScanner;3;0;0.0;1.0;0.0;
org.apache.tools.ant.util.FlatFileNameMapper;1;1;0.5;0.0;0.5;
org.apache.tools.ant.taskdefs.Cvs;0;8;1.0;0.0;0.0;
org.apache.tools.ant.util.IdentityMapper;1;1;0.5;0.0;0.5;
org.apache.tools.mail.SmtpResponseReader;2;0;0.0;0.0;1.0;
org.apache.tools.ant.taskdefs.Get;0;5;1.0;0.0;0.0;
org.apache.tools.ant.taskdefs.compilers.CompilerAdapter;3;2;0.4;1.0;0.4;
org.apache.tools.ant.types.PatternSet;5;6;0.55;0.0;0.45;
org.apache.tools.ant.util.regexp.RegexpMatcher;5;1;0.17;1.0;0.17;
org.apache.tools.ant.XmlLogger;0;9;1.0;0.0;0.0;
org.apache.tools.tar.TarOutputStream;0;3;1.0;0.0;0.0;
org.apache.tools.ant.taskdefs.Property;2;8;0.8;0.0;0.2;
org.apache.tools.ant.UnknownElement;1;8;0.89;0.0;0.11;
org.apache.tools.ant.Constants;0;0;0.0;0.0;1.0;
org.apache.tools.ant.Target;11;6;0.35;0.0;0.65;
org.apache.tools.ant.taskdefs.ExecuteOn;4;8;0.67;0.0;0.33;
org.apache.tools.ant.taskdefs.LogOutputStream;5;2;0.29;0.0;0.71;
org.apache.tools.ant.taskdefs.compilers.Jikes;1;5;0.83;0.0;0.17;
org.apache.tools.ant.taskdefs.Rename;0;4;1.0;0.0;0.0;
org.apache.tools.ant.types.Path;4;0;0.0;0.0;1.0;
org.apache.tools.ant.taskdefs.StreamPumper;1;0;0.0;0.0;1.0;
org.apache.tools.ant.taskdefs.compilers.Javac13;1;5;0.83;0.0;0.17;
org.apache.tools.ant.taskdefs.compilers.Javac12;1;5;0.83;0.0;0.17;
org.apache.tools.ant.taskdefs.Delete;0;6;1.0;0.0;0.0;
org.apache.tools.ant.taskdefs.Taskdef;1;6;0.86;0.0;0.14;
org.apache.tools.ant.DesirableFilter;0;0;0.0;0.0;1.0;
org.apache.tools.ant.DirectoryScanner;18;2;0.1;0.0;0.9;
org.apache.tools.ant.util.regexp.RegexpMatcherFactory;1;2;0.67;0.0;0.33;
org.apache.tools.ant.taskdefs.Zip;3;11;0.79;0.0;0.21;
org.apache.tools.ant.util.regexp.JakartaOroMatcher;0;2;1.0;0.0;0.0;
org.apache.tools.ant.BuildLogger;2;1;0.33;1.0;0.33;
org.apache.tools.ant.taskdefs.XSLTProcess;0;8;1.0;0.0;0.0;
org.apache.tools.ant.types.ZipFileSet;3;7;0.7;0.0;0.3;
org.apache.tools.ant.taskdefs.ExecuteStreamHandler;3;0;0.0;1.0;0.0;
org.apache.tools.ant.taskdefs.Jar;1;6;0.86;0.0;0.14;
org.apache.tools.ant.taskdefs.SQLExec;0;0;0.0;0.0;1.0;
org.apache.tools.ant.taskdefs.TaskOutputStream;0;2;1.0;0.0;0.0;
org.apache.tools.ant.types.Reference;12;2;0.14;0.0;0.86;
org.apache.tools.ant.ProjectHelper;6;5;0.45;0.0;0.55;
org.apache.tools.ant.AntClassLoader;6;2;0.25;0.0;0.75;
org.apache.tools.ant.Location;8;0;0.0;0.0;1.0;
org.apache.tools.ant.taskdefs.Javac;4;11;0.73;0.0;0.27;
org.apache.tools.ant.taskdefs.Mkdir;0;3;1.0;0.0;0.0;
org.apache.tools.ant.DefaultLogger;5;4;0.44;0.0;0.56;
org.apache.tools.ant.IntrospectionHelper;0;0;0.0;0.0;1.0;
org.apache.tools.ant.taskdefs.compilers.Jvc;1;4;0.8;0.0;0.2;
org.apache.tools.ant.types.FileSet;16;9;0.36;0.0;0.64;
org.apache.tools.ant.Project;61;7;0.1;0.0;0.9;
org.apache.tools.ant.taskdefs.Deltree;0;3;1.0;0.0;0.0;
org.apache.tools.mail.MailMessage;1;4;0.8;0.0;0.2;
org.apache.tools.ant.taskdefs.Tstamp;0;0;0.0;0.0;1.0;
org.apache.tools.ant.taskdefs.Java;0;11;1.0;0.0;0.0;
org.apache.tools.ant.taskdefs.LogStreamHandler;5;3;0.38;0.0;0.62;
org.apache.tools.ant.taskdefs.Echo;0;6;1.0;0.0;0.0;
org.apache.tools.ant.taskdefs.Exit;0;2;1.0;0.0;0.0;
