indx,name,version,oname,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,new,portrait,bug,predicted_bug
0,org.apache.tools.ant.taskdefs.ExecuteOn,1.3,org.apache.tools.ant.taskdefs.ExecuteOn,11,4,2,14,42,29,2,12,5,0.725,395,1,1,0.885057471,0.232323232,3,4,34.54545455,3,1.2727,1,0.006084,0,0.8995756
1,org.apache.tools.ant.DefaultLogger,1.3,org.apache.tools.ant.DefaultLogger,14,1,1,8,32,49,4,4,12,0.835164835,257,1,0,0,0.307692308,0,0,16.85714286,6,1.6429,1,0.001518,2,0.72761816
2,org.apache.tools.ant.taskdefs.TaskOutputStream,1.3,org.apache.tools.ant.taskdefs.TaskOutputStream,3,2,0,1,9,0,0,1,1,0,58,1,1,0.714285714,0.666666667,1,1,17.33333333,1,0.6667,1,0.000365,0,0.31733292
3,org.apache.tools.ant.taskdefs.Cvs,1.3,org.apache.tools.ant.taskdefs.Cvs,12,3,0,12,37,32,0,12,12,0.858585859,310,1,1,0.770833333,0.458333333,0,0,24.08333333,3,1.4167,1,0.003362,0,0.8135144
4,org.apache.tools.ant.taskdefs.Copyfile,1.3,org.apache.tools.ant.taskdefs.Copyfile,6,3,0,4,21,1,0,4,6,0.7,136,1,0,0.880952381,0.416666667,2,2,21,1,0.8333,1,0.000611,0,0.49532503
5,org.apache.tools.ant.util.GlobPatternMapper,1.3,org.apache.tools.ant.util.GlobPatternMapper,5,1,0,3,15,0,2,1,4,0.5,137,1,0,0,0.9,0,0,25.2,4,1.8,1,0.00099,0,0.35697272
6,org.apache.tools.ant.taskdefs.Move,1.3,org.apache.tools.ant.taskdefs.Move,4,4,0,6,32,6,0,6,1,2,325,0,0,0.963855422,0.75,3,5,80.25,11,5.25,1,0.002257,0,0.5854372
7,org.apache.tools.ant.taskdefs.CompileTask,1.3,org.apache.tools.ant.taskdefs.CompileTask,4,5,0,5,21,0,0,5,4,0.333333333,87,1,0,0.98089172,1,1,1,20.5,3,1.25,1,0.000611,0,0.4678266
8,org.apache.tools.ant.types.PatternSet,1.3,org.apache.tools.ant.types.PatternSet,17,3,0,10,55,76,5,6,11,0.59375,461,1,0,0.652173913,0.285714286,1,1,25.88235294,6,2.6471,1,0.128041,1,1.0291669
9,org.apache.tools.ant.taskdefs.Patch,1.3,org.apache.tools.ant.taskdefs.Patch,9,3,0,9,29,0,0,9,9,0.583333333,168,1,1,0.822222222,0.444444444,0,0,17.33333333,2,1.4444,1,0.002762,0,0.61333436
